,Company,Contact,Country,Price,Item
0,Haute Hues,+99763714628,Paraguay,93265₽,pizza
1,Modish Mannequins,+12456008683,Jamaica,13309₽,enthusiasm
2,Brow Boosters,+88168322837,Portugal,39626₽,wood
3,Modern Maven,+22162531894,Cape Verde,95277₽,administration
4,Salon Suites,+24457734028,Mozambique,90745₽,classroom
5,Urban Upmarket,+92198981137,Cuba,76640₽,context
6,Beauty Bar,+9664678073,Pakistan,88108₽,love
7,Clipper Cuts,+21549810663,Sao Tome and Principe,92460₽,breath
8,Elegant Ensembles,+65289797692,Iran,94439₽,administration
9,Stylish Silhouettes,+66264140912,India,66107₽,truth
10,Nail Nook,+83385638762,Vanuatu,91126₽,cigarette
11,Sleek Styles,+91703617584,Mauritius,55515₽,mixture
12,Stylish Silhouettes,+24649633937,Laos,35813₽,wood
13,Elite Elegance,+98153543155,Armenia,83479₽,family
14,Beauty Bar,+4565959608,Sierra Leone,63351₽,signature
15,Skin Studio,+8510250430,Niger,90827₽,sample
16,Trendsetting Tailors,+43818512123,"Korea, North",98984₽,injury
17,Sophisticated Sewing,+53764899294,Sweden,52646₽,maintenance
18,Smart Styles,+45181447830,Russia,63975₽,data
19,Trendy Threads,+39452057672,"Korea, North",28364₽,sample
20,Classy Chic,+85488614266,Comoros,32382₽,topic
21,Dapper Designs,+62735342455,Colombia,65077₽,awareness
22,Classy Chic,+55885680063,Nauru,42723₽,revenue
23,Trendy Threads,+37876550435,Ghana,44241₽,injury
24,Lash Lounge,+52366530899,Malawi,26011₽,perception
25,Fine Fabrics,+59659090753,Serbia,34968₽,maintenance
26,Refined Rags,+15316906138,Fiji,26807₽,enthusiasm
27,Nail Nook,+18698312028,Nauru,37032₽,topic
28,Nail Nook,+34815083375,Monaco,54105₽,republic
29,Modish Mannequins,+74706982649,Comoros,86842₽,midnight
30,Chic Boutique,+72367029151,Nigeria,94674₽,selection
31,Body Bliss,+91251748211,Palau,75856₽,newspaper
32,Glow Getter,+84116589812,Guatemala,20390₽,classroom
33,Sleek Styles,+4891273042,Maldives,51592₽,pizza
34,Makeup Maven,+4710757050,Gabon,77822₽,signature
35,Salon Suites,+7400842335,Singapore,92608₽,explanation
36,Clipper Cuts,+90242297931,Belgium,85168₽,departure
37,Fine Fabrics,+45196534025,Armenia,53985₽,signature
38,Dapper Designs,+34559779567,Trinidad and Tobago,40806₽,addition
39,Dapper Designs,+45425787324,Tajikistan,50410₽,contribution
40,Classy Collections,+81805921727,Luxembourg,70580₽,woman
41,Chic Couture,+57396876509,Russia,69987₽,emphasis
42,Classy Collections,+26467053293,Tanzania,76746₽,dad
43,Crisp Creations,+35171865048,"Korea, South",82849₽,elevator
44,Trendy Threads,+31461192318,Barbados,44332₽,signature
45,Salon Suites,+28815609698,Benin,98348₽,organization
46,Urban Upmarket,+36127000698,Liberia,29365₽,description
47,Salon Suites,+10805616816,Romania,17461₽,tea
48,Modern Maven,+59747793093,Italy,73631₽,construction
49,Glamour Galore,+25335244933,South Sudan,68515₽,family
50,Beauty Bar,+35886540505,Djibouti,33463₽,contribution
51,Makeup Maven,+44402313430,Guinea-Bissau,28993₽,homework
52,Haute Hues,+46209782803,Brunei,58587₽,signature
53,Makeup Maven,+9859434771,Bahrain,42380₽,hat
54,Fashion Forward,+630775885,Saint Kitts and Nevis,47397₽,opinion
55,Posh Patterns,+90471018759,Montenegro,19381₽,perception
56,Glamour Galore,+1077358593,Guinea-Bissau,19845₽,employment
57,Makeup Maven,+32148045922,Fiji,88652₽,tennis
58,Smart Styles,+40799553922,Cape Verde,84549₽,indication
59,Dapper Designs,+16856918565,Kyrgyzstan,29262₽,distribution
60,Sleek Styles,+48909640311,Suriname,54201₽,newspaper
61,Posh Patterns,+2085288093,Malawi,25271₽,payment
62,Wellness World,+36239310677,The Gambia,88719₽,contract
63,Chic Boutique,+2573619999,San Marino,47174₽,ladder
64,Elegant Ensembles,+82802618207,Barbados,39126₽,basket
65,Haute Hues,+7684189154,Russia,90907₽,contribution
66,Brow Boosters,+60277341364,Solomon Islands,12840₽,agreement
67,Glamour Galore,+24280115514,Montenegro,40834₽,organization
68,Skin Studio,+9368865635,Kazakhstan,73209₽,cell
69,Smart Styles,+9474571357,Guatemala,77200₽,enthusiasm
70,Refined Rags,+72781518258,Angola,58351₽,advertising
71,Elegant Ensembles,+30729273193,Czech Republic,71760₽,indication
72,Elegant Ensembles,+37790534794,Guyana,52594₽,administration
73,Nail Nook,+23424210385,Eritrea,99271₽,passenger
74,Nail Nook,+72475185507,"Korea, South",50994₽,indication
75,Beauty Bar,+34625886572,Cuba,90370₽,data
76,Chic Couture,+73632528416,Japan,89948₽,contribution
77,Clipper Cuts,+53175052374,New Zealand,68403₽,map
78,Chic Couture,+23509260480,Greece,30210₽,advice
79,Salon Suites,+48148798630,Vatican City (Holy See),64114₽,pie
80,Brow Boosters,+5539360614,Malaysia,19294₽,advice
